d0,d1,d2,size,log2_size,latency_us,kernel_us,program_us,wall_us,host_us
1,1,11,11,3.459432,1.205928,1.205928,12.241295,3335.049958,3322.808663
1,1,16,16,4.000000,1.215241,1.215241,11.857580,133.689959,121.832378
1,1,18,18,4.169925,1.207723,1.207723,10.783697,136.829098,126.045401
1,1,25,25,4.643856,1.216473,1.216473,15.337393,133.639900,118.302507
1,1,40,40,5.321928,1.206009,1.206009,11.661411,148.308929,136.647518
1,1,61,61,5.930737,1.229446,1.229446,12.082714,131.860026,119.777312
1,1,87,87,6.442943,1.214884,1.214884,14.162973,125.590013,111.427040
1,1,102,102,6.672425,1.211554,1.211554,11.986687,125.059974,113.073287
1,1,120,120,6.906891,1.206884,1.206884,13.202893,128.788990,115.586097
1,1,157,157,7.294621,0.867580,0.867580,12.645420,126.359984,113.714565
1,1,354,354,8.467606,0.903723,0.903723,11.509991,125.708990,114.198999
1,1,1138,1138,10.152285,0.927831,0.927831,10.626562,123.140053,112.513490
1,1,1470,1470,10.521600,0.918304,0.918304,10.178304,120.720011,110.541708
1,1,1753,1753,10.775610,0.959848,0.959848,12.041420,124.060083,112.018664
1,1,1915,1915,10.903129,0.944134,0.944134,10.956857,127.810985,116.854128
1,1,2151,2151,11.070792,0.966830,0.966830,9.284402,119.491015,110.206613
1,1,2887,2887,11.495355,0.967732,0.967732,9.801134,127.410050,117.608917
1,1,3457,3457,11.755305,0.979928,0.979928,9.385875,166.951097,157.565222
1,1,5671,5671,12.469387,1.087714,1.087714,14.311143,127.359992,113.048849
1,1,27859,27859,14.765856,1.624544,1.624544,10.834723,119.299977,108.465254
1,1,58917,58917,15.846396,2.439197,2.439197,10.000732,127.919950,117.919217
1,1,60577,60577,15.886483,2.480866,2.480866,14.074277,122.808968,108.734691
1,1,109348,109348,16.738567,3.676652,3.676652,12.237580,121.469027,109.231447
1,1,159502,159502,17.283215,4.971572,4.971572,13.716402,128.149986,114.433585
1,2,7734,15468,13.916999,1.031964,1.031964,9.699866,126.710045,117.010179
1,8,10,80,6.321928,0.844580,0.844580,9.332277,136.379967,127.047690
1,8,18,144,7.169925,0.907474,0.907474,10.192438,144.739985,134.547547
1,8,44,352,8.459432,0.855750,0.855750,8.524955,120.199984,111.675029
1,8,48,384,8.584963,0.864036,0.864036,16.829705,117.919990,101.090285
1,8,53,424,8.727920,0.857312,0.857312,10.187411,122.230966,112.043555
1,8,116,928,9.857981,0.871589,0.871589,9.561687,122.079975,112.518288
1,8,124,992,9.954196,0.857357,0.857357,15.824419,163.139892,147.315472
1,8,218,1744,10.768184,0.934259,0.934259,9.905714,126.690953,116.785239
1,8,281,2248,11.134426,0.961982,0.961982,8.764134,126.599916,117.835782
1,8,395,3160,11.625709,0.890705,0.890705,9.810750,127.459993,117.649243
1,8,425,3400,11.731319,0.893143,0.893143,10.920276,127.780018,116.859742
1,8,487,3896,11.927778,0.925375,0.925375,9.470580,127.269072,117.798491
1,8,553,4424,12.111136,0.943000,0.943000,9.780866,124.090002,114.309136
1,8,848,6784,12.727920,0.936813,0.936813,10.198848,131.350011,121.151162
1,8,921,7368,12.847057,0.949429,0.949429,10.972572,126.280007,115.307435
1,8,1572,12576,13.618386,1.019777,1.019777,8.476152,120.650046,112.173894
1,8,5534,44272,15.434107,1.230169,1.230169,9.332116,125.000020,115.667904
1,8,7159,57272,15.805542,1.309794,1.309794,9.153286,125.630992,116.477706
1,8,8659,69272,16.079985,1.400357,1.400357,10.167402,118.769938,108.602536
1,8,18677,149416,17.188975,1.916009,1.916009,12.290152,125.020044,112.729892
1,8,19347,154776,17.239822,2.009446,2.009446,10.180401,125.349965,115.169564
1,8,23842,190736,17.541218,2.239304,2.239304,11.653402,130.650005,118.996604
1,8,27070,216560,17.724407,2.407161,2.407161,11.114438,121.340039,110.225602
1,8,89778,718224,19.454074,5.769428,5.769428,14.780973,126.929954,112.148980
1,8,143046,1144368,20.126120,8.619321,8.619321,17.721143,129.519962,111.798819
1,14,94,1316,10.361944,0.885607,0.885607,9.891857,123.520033,113.628175
1,15,5,75,6.228819,0.846768,0.846768,8.759857,118.850032,110.090175
1,16,8,128,7.000000,0.848384,0.848384,10.583571,147.770974,137.187402
1,16,10,160,7.321928,0.884277,0.884277,10.517000,118.279946,107.762946
1,16,15,240,7.906891,0.889170,0.889170,9.988848,122.310012,112.321163
1,16,25,400,8.643856,0.872000,0.872000,9.625822,129.439984,119.814163
1,16,63,1008,9.977280,0.884161,0.884161,9.585652,124.809914,115.224262
1,16,160,2560,11.321928,0.900616,0.900616,9.537857,131.189940,121.652082
1,16,182,2912,11.507795,0.906866,0.906866,8.790688,121.779973,112.989285
1,16,185,2960,11.531381,0.917125,0.917125,9.232009,125.859980,116.627971
1,16,237,3792,11.888743,0.893437,0.893437,9.570437,128.340092,118.769655
1,16,277,4432,12.113742,0.941946,0.941946,8.794447,129.979919,121.185472
1,16,293,4688,12.194757,0.969419,0.969419,10.175044,124.749960,114.574916
1,16,341,5456,12.413628,0.933714,0.933714,7.302000,118.849915,111.547916
1,16,436,6976,12.768184,0.972018,0.972018,9.286562,131.450011,122.163449
1,16,438,7008,12.774787,0.982179,0.982179,8.981572,130.170956,121.189385
1,16,483,7728,12.915879,0.959723,0.959723,9.713732,122.429919,112.716187
1,16,544,8704,13.087463,0.944732,0.944732,9.317116,123.449950,114.132834
1,16,659,10544,13.364135,0.992188,0.992188,10.504741,131.550012,121.045271
1,16,1255,20080,14.293472,1.058134,1.058134,9.392000,120.190089,110.798089
1,16,1535,24560,14.584023,1.072447,1.072447,9.972313,118.819997,108.847684
1,16,1887,30192,14.881879,1.102857,1.102857,10.152991,119.189965,109.036974
1,16,2232,35712,15.124121,1.142384,1.142384,9.426268,131.250010,121.823742
1,16,2665,42640,15.379920,1.201249,1.201249,9.062562,129.260006,120.197444
1,16,3083,49328,15.590119,1.272589,1.272589,9.697866,123.079983,113.382116
1,16,8979,143664,17.132339,1.920304,1.920304,9.343723,121.359946,112.016223
1,16,9371,149936,17.193987,1.964857,1.964857,10.438277,128.259999,117.821722
1,16,11455,183280,17.483690,2.157741,2.157741,10.394116,146.460021,136.065905
1,16,12530,200480,17.613099,2.255696,2.255696,11.087982,140.090007,129.002025
1,16,15615,249840,17.930645,2.683268,2.683268,11.013000,125.230057,114.217057
1,16,17811,284976,18.120481,2.851706,2.851706,11.244848,125.919934,114.675086
1,16,18962,303392,18.210824,3.104134,3.104134,12.128018,121.750054,109.622036
1,16,23057,368912,18.492917,3.455848,3.455848,11.346116,125.068938,113.722822
1,16,47251,756016,19.528057,6.029090,6.029090,13.622161,144.170015,130.547854
1,16,74917,1198672,20.193006,8.987830,8.987830,17.586830,129.679916,112.093086
1,16,80231,1283696,20.291872,9.582411,9.582411,17.917723,131.640001,113.722278
1,16,107984,1727744,20.720458,12.467625,12.467625,20.485857,131.760025,111.274168
1,16,133762,2140192,21.029309,14.225589,14.225589,22.475562,135.388924,112.913362
1,16,140423,2246768,21.099420,14.804652,14.804652,22.968866,133.530004,110.561138
1,17,39,663,9.372865,0.949116,0.949116,9.899259,121.720019,111.820760
1,23,32710,752330,19.521006,6.221232,6.221232,14.714696,141.680008,126.965311
1,38,693,26334,14.684639,1.119420,1.119420,9.374562,149.079948,139.705386
1,64,12,768,9.584963,0.874285,0.874285,9.062134,126.629951,117.567818
1,64,16,1024,10.000000,0.875982,0.875982,9.310143,120.469951,111.159808
1,64,41,2624,11.357552,1.000848,1.000848,9.592295,120.250043,110.657748
1,64,76,4864,12.247928,0.963705,0.963705,9.465143,124.370097,114.904955
1,64,78,4992,12.285402,0.954580,0.954580,9.194161,130.109955,120.915794
1,64,137,8768,13.098032,1.000429,1.000429,9.087482,126.580009,117.492527
1,64,138,8832,13.108524,1.057571,1.057571,9.072589,122.770900,113.698311
1,64,645,41280,15.333155,1.207482,1.207482,8.432438,125.170918,116.738481
1,64,1002,64128,15.968667,1.388000,1.388000,8.677259,124.979997,116.302738
1,64,1025,65600,16.001408,1.455928,1.455928,9.182178,122.489990,113.307811
1,64,1130,72320,16.142107,1.413616,1.413616,9.327857,130.350003,121.022146
1,64,1961,125504,16.937374,1.796411,1.796411,10.714170,129.950000,119.235830
1,64,3389,216896,17.726644,2.430956,2.430956,18.071277,121.589983,103.518706
1,64,3494,223616,17.770664,2.497215,2.497215,11.973589,125.490013,113.516423
1,64,4137,264768,18.014369,2.748670,2.748670,12.338580,125.789898,113.451318
1,64,4919,314816,18.264149,3.099866,3.099866,13.366679,120.690092,107.323414
1,64,12279,785856,19.583905,6.197259,6.197259,14.973982,128.529966,113.555984
1,64,14850,950400,19.858175,7.352117,7.352117,16.691411,128.639978,111.948568
1,64,15177,971328,19.889599,7.437696,7.437696,16.937875,127.259991,110.322116
1,64,21843,1397952,20.414883,10.291732,10.291732,20.547134,129.139982,108.592848
1,64,26648,1705472,20.701740,12.295348,12.295348,21.611589,130.560016,108.948427
1,64,44133,2824512,21.429570,18.343714,18.343714,27.758857,135.769951,108.011094
1,64,47390,3032960,21.532295,19.671286,19.671286,31.082018,142.410048,111.328031
1,64,54202,3468928,21.726058,22.436250,22.436250,32.499286,145.780039,113.280753
1,64,70342,4501888,22.102099,28.911848,28.911848,38.524161,148.340012,109.815851
1,64,91122,5831808,22.475512,37.008437,37.008437,46.686464,157.269998,110.583534
1,64,93296,5970944,22.509528,37.708125,37.708125,49.126286,157.559989,108.433703
1,64,108771,6961344,22.730934,43.955840,43.955840,51.983991,163.859921,111.875929
1,92,10719,986148,19.911445,7.834848,7.834848,17.277991,126.128900,108.850909
1,128,9,1152,10.169925,0.871188,0.871188,9.959866,119.259930,109.300064
1,128,10,1280,10.321928,0.889303,0.889303,12.219438,120.150042,107.930604
1,128,11,1408,10.459432,0.889143,0.889143,11.653545,125.260092,113.606548
1,128,17,2176,11.087463,0.944134,0.944134,10.759304,121.260062,110.500758
1,128,21,2688,11.392317,0.921393,0.921393,10.602571,118.879951,108.277379
1,128,31,3968,11.954196,0.903580,0.903580,10.394277,122.630969,112.236692
1,128,59,7552,12.882643,0.945572,0.945572,10.494572,124.391052,113.896480
1,128,217,27776,14.761551,1.119241,1.119241,11.029419,121.340039,110.310620
1,128,233,29824,14.864186,1.153286,1.153286,11.440723,122.669968,111.229245
1,128,320,40960,15.321928,1.150598,1.150598,11.127312,121.360063,110.232750
1,128,434,55552,15.761551,1.356714,1.356714,11.543268,123.790000,112.246732
1,128,448,57344,15.807355,1.307438,1.307438,12.482696,132.650021,120.167324
1,128,1883,241024,17.878817,2.623705,2.623705,14.457562,122.989994,108.532431
1,128,2274,291072,18.151017,2.949294,2.949294,12.493821,130.579923,118.086102
1,128,3125,400000,18.609640,3.619938,3.619938,12.228152,128.360000,116.131848
1,128,5232,669696,19.353147,5.491643,5.491643,15.538723,125.229941,109.691217
1,128,6775,867200,19.726005,6.833125,6.833125,16.794161,162.450015,145.655854
1,128,21380,2736640,21.383974,17.710072,17.710072,27.699152,137.759955,110.060803
1,128,22820,2920960,21.478011,19.015000,19.015000,29.124009,146.000064,116.876055
1,128,36669,4693632,22.162273,29.796857,29.796857,40.678437,149.709987,109.031550
1,128,83299,10662272,23.346012,66.529179,66.529179,75.760125,186.310033,110.549909
1,128,83605,10701440,23.351302,66.461116,66.461116,75.867866,187.220052,111.352186
1,128,92977,11901056,23.504586,73.707089,73.707089,83.592902,194.400083,110.807182
1,128,107486,13758208,23.713789,85.299268,85.299268,95.854732,203.690026,107.835294
1,128,130017,16642176,23.988341,103.149732,103.149732,113.957429,221.860013,107.902584
1,128,141033,18052224,24.105673,111.710241,111.710241,121.008429,232.700026,111.691597
1,169,12,2028,10.985842,0.961223,0.961223,11.077723,122.610014,111.532291
1,192,5,960,9.906891,0.886410,0.886410,11.272312,120.420009,109.147696
1,242,258,62436,15.930090,1.433018,1.433018,10.042562,120.430021,110.387458
1,256,10,2560,11.321928,0.898839,0.898839,11.175455,125.649967,114.474512
1,256,12,3072,11.584963,0.927232,0.927232,13.397589,122.339930,108.942341
1,256,25,6400,12.643856,0.938580,0.938580,10.505277,128.849992,118.344715
1,256,29,7424,12.857981,0.966545,0.966545,10.800116,130.310887,119.510771
1,256,37,9472,13.209453,0.984580,0.984580,10.180143,120.640034,110.459891
1,256,41,10496,13.357552,1.018188,1.018188,10.061000,120.088924,110.027924
1,256,55,14080,13.781360,1.009669,1.009669,10.283179,165.520003,155.236824
1,256,78,19968,14.285402,1.016893,1.016893,10.653286,123.630045,112.976759
1,256,196,50176,15.614710,1.340107,1.340107,10.767036,123.359961,112.592926
1,256,245,62720,15.936638,1.346402,1.346402,11.563420,121.379970,109.816550
1,256,251,64256,15.971544,1.417205,1.417205,10.679000,122.330035,111.651035
1,256,391,100096,16.611025,1.598589,1.598589,11.715473,124.000013,112.284540
1,256,469,120064,16.873444,1.785884,1.785884,11.342572,124.390004,113.047433
1,256,589,150784,17.202124,2.004563,2.004563,11.406018,120.860059,109.454041
1,256,735,188160,17.521600,2.245402,2.245402,12.213991,123.120029,110.906039
1,256,780,199680,17.607330,2.340696,2.340696,12.342277,121.959951,109.617674
