M,N,K,shape_class,dtype,latency_us_wallclock,latency_us_device,program_us,host_us,cycles_compute,status
592,308,8,r0,bf16,111.8500,1.9005,16.6300,95.2200,2921,ok
7,48,7,r0,bf16,111.0400,0.9577,12.8584,98.1816,388,ok
374,10,10,r0,bf16,111.8999,1.1945,13.1691,98.7308,755,ok
82,959,12,r0,bf16,112.8500,1.4421,18.1318,94.7182,3711,ok
8,303,20,r0,bf16,112.5301,1.0496,12.7588,99.7713,1169,ok
7,970,118,r0,bf16,111.5910,1.1272,14.0057,97.5853,3111,ok
457,916,5,r0,bf16,116.0511,2.5357,15.0866,100.9644,6711,ok
249,894,28,r0,bf16,109.3800,1.9010,14.3479,95.0321,4416,ok
35,2,8,r0,bf16,109.8200,0.9734,13.9459,95.8742,416,ok
101,995,109,r0,bf16,112.5799,1.5818,16.2250,96.3549,3863,ok
37,694,4,r0,bf16,112.6300,1.2757,13.9738,98.6562,2513,ok
440,63,1,r0,bf16,111.4700,2.2423,14.8457,96.6243,821,ok
231,20,55,r0,bf16,119.7500,1.1137,15.5407,104.2094,612,ok
156,1,11,r0,bf16,112.1800,2.0408,15.6686,96.5114,537,ok
706,6,5,r0,bf16,111.6301,1.2023,14.6764,96.9536,1087,ok
721,4,16,r0,bf16,118.9200,1.0518,13.8352,105.0848,1102,ok
6,1502,49,r0,bf16,110.9691,1.0976,14.5023,96.4667,4655,ok
30,2,5,r0,bf16,108.5300,0.9443,12.6526,95.8774,411,ok
47,1156,2,r0,bf16,109.5600,1.3763,15.2763,94.2837,4289,ok
65,209,14,r0,bf16,107.7401,1.3468,16.1084,91.6316,893,ok
472,59,107,r0,bf16,108.8399,1.3041,18.7905,90.0494,853,ok
96,85,9,r0,bf16,109.2200,1.1926,17.6779,91.5422,477,ok
91,18,16,r0,bf16,110.8310,1.1280,15.9213,94.9097,472,ok
9,4,2,r0,bf16,109.8800,1.0461,16.6557,93.2243,390,ok
103,143,10,r0,bf16,112.8800,1.3291,16.0182,96.8618,969,ok
2,307,70,r0,bf16,109.1500,1.0548,16.3675,92.7825,1151,ok
1076,584,78,r0,bf16,111.7000,3.3889,18.9750,92.7250,7289,ok
1073,60,7,r0,bf16,111.6400,1.4246,15.0123,96.6276,1454,ok
207,8,51,r0,bf16,110.5200,1.1332,17.4427,93.0773,588,ok
615,868,17,r0,bf16,111.3300,2.9715,17.4309,93.8991,6978,ok
1313,80,9,r0,bf16,114.6300,1.5577,16.2999,98.3301,1694,ok
147,1866,86,r0,bf16,109.5299,1.8580,20.4546,89.0753,7934,ok
402,2,20,r0,bf16,112.4600,1.0850,16.3249,96.1351,783,ok
40,117,60,r0,bf16,110.2600,1.1227,15.2766,94.9834,421,ok
6,252,2,r0,bf16,109.2200,1.1593,15.6582,93.5618,775,ok
5,406,5,r0,bf16,110.3800,1.1128,17.1638,93.2162,1547,ok
477,2,2,r0,bf16,110.8099,1.1448,16.6923,94.1176,858,ok
195,1,16,r0,bf16,106.7000,2.0435,15.4139,91.2861,576,ok
